timestamp,source,symbol,data_type,price,bid,ask,volume,quote_volume,high_24h,low_24h,price_change_24h,bids,asks,bid_volume,ask_volume,instrument,strike,expiry,type,open_interest,iv,mark
2025-07-10 09:24:00.072571+00:00,binance,BTCUSDT,orderbook,,,,,,,,,"[['111125.07000000', '1.76602000'], ['111125.06000000', '0.00631000'], ['111124.76000000', '0.00080000'], ['111124.54000000', '0.00052000'], ['111124.13000000', '0.00007000'], ['111124.12000000', '0.00202000'], ['111124.10000000', '0.00010000'], ['111124.09000000', '0.29781000'], ['111124.00000000', '0.00010000'], ['111123.99000000', '0.36288000']]","[['111125.08000000', '3.57837000'], ['111125.09000000', '0.00020000'], ['111125.25000000', '0.00144000'], ['111126.10000000', '0.00005000'], ['111126.75000000', '0.00010000'], ['111126.76000000', '0.18021000'], ['111126.99000000', '0.00010000'], ['111127.31000000', '0.00050000'], ['111127.55000000', '0.00010000'], ['111127.56000000', '0.09666000']]",2.43663,3.857730000000001,,,,,,,
2025-07-10 09:24:00.167862+00:00,binance,ETHUSDT,spot,2780.65,2780.64,2780.65,846661.8021,2313099754.999218,2823.18,2606.49,6.439,,,,,,,,,,,
2025-07-10 09:24:00.261157+00:00,binance,ETHUSDT,orderbook,,,,,,,,,"[['2780.64000000', '4.33800000'], ['2780.62000000', '0.01120000'], ['2780.61000000', '0.73140000'], ['2780.60000000', '0.00380000'], ['2780.59000000', '0.00190000'], ['2780.58000000', '0.00780000'], ['2780.57000000', '0.00920000'], ['2780.56000000', '0.00190000'], ['2780.55000000', '0.00380000'], ['2780.54000000', '0.00570000']]","[['2780.65000000', '111.55230000'], ['2780.66000000', '6.01200000'], ['2780.67000000', '2.30610000'], ['2780.68000000', '2.04050000'], ['2780.70000000', '1.10560000'], ['2780.71000000', '0.00210000'], ['2780.73000000', '0.00360000'], ['2780.77000000', '0.85240000'], ['2780.80000000', '5.64120000'], ['2780.81000000', '0.00400000']]",5.114699999999999,129.5198,,,,,,,
2025-07-10 09:24:01.359547+00:00,binance,BTCUSDT,spot,111125.08,111125.07,111125.08,18784.24479,2074907266.5060058,111999.79,108503.0,2.288,,,,,,,,,,,
2025-07-10 09:24:01.458777+00:00,binance,BTCUSDT,orderbook,,,,,,,,,"[['111125.07000000', '0.97287000'], ['111125.06000000', '0.00631000'], ['111124.76000000', '0.00080000'], ['111124.54000000', '0.00052000'], ['111124.13000000', '0.00007000'], ['111124.12000000', '0.00202000'], ['111124.11000000', '0.00010000'], ['111124.10000000', '0.45989000'], ['111124.09000000', '0.29781000'], ['111123.98000000', '0.02008000']]","[['111125.08000000', '3.75680000'], ['111125.25000000', '0.00144000'], ['111126.10000000', '0.00005000'], ['111126.29000000', '0.00010000'], ['111126.30000000', '0.07865000'], ['111126.76000000', '0.00005000'], ['111126.99000000', '0.00010000'], ['111127.31000000', '0.00050000'], ['111127.55000000', '0.00010000'], ['111127.56000000', '0.09666000']]",1.7604700000000002,3.934450000000001,,,,,,,
2025-07-10 09:24:01.551743+00:00,binance,ETHUSDT,spot,2780.65,2780.64,2780.65,846660.7576,2313097027.062583,2823.18,2606.49,6.438,,,,,,,,,,,
2025-07-10 09:24:01.647873+00:00,binance,ETHUSDT,orderbook,,,,,,,,,"[['2780.64000000', '4.43720000'], ['2780.62000000', '0.01120000'], ['2780.61000000', '0.73140000'], ['2780.60000000', '0.00380000'], ['2780.59000000', '0.00190000'], ['2780.58000000', '0.00400000'], ['2780.57000000', '0.00920000'], ['2780.56000000', '0.00190000'], ['2780.55000000', '0.00380000'], ['2780.54000000', '0.00570000']]","[['2780.65000000', '107.84290000'], ['2780.66000000', '6.01200000'], ['2780.67000000', '2.30610000'], ['2780.68000000', '2.04050000'], ['2780.69000000', '0.32000000'], ['2780.70000000', '1.10560000'], ['2780.71000000', '0.00210000'], ['2780.73000000', '0.00360000'], ['2780.76000000', '0.00740000'], ['2780.77000000', '1.03230000']]",5.210099999999999,120.6725,,,,,,,
2025-07-10 09:24:02.749321+00:00,binance,BTCUSDT,spot,111125.08,111125.07,111125.08,18784.22702,2074905354.7429063,111999.79,108503.0,2.288,,,,,,,,,,,
2025-07-10 09:24:02.843099+00:00,binance,BTCUSDT,orderbook,,,,,,,,,"[['111125.07000000', '0.75760000'], ['111125.06000000', '0.00626000'], ['111124.76000000', '0.00080000'], ['111124.54000000', '0.00052000'], ['111124.13000000', '0.00007000'], ['111124.12000000', '0.00202000'], ['111124.10000000', '0.00010000'], ['111124.09000000', '0.29781000'], ['111124.00000000', '0.00010000'], ['111123.99000000', '0.37014000']]","[['111125.08000000', '3.82737000'], ['111125.25000000', '0.00144000'], ['111126.10000000', '0.00005000'], ['111126.30000000', '0.00005000'], ['111126.90000000', '0.00010000'], ['111126.91000000', '0.29713000'], ['111126.99000000', '0.00010000'], ['111127.31000000', '0.00050000'], ['111127.54000000', '0.00010000'], ['111127.55000000', '0.47223000']]",1.4354200000000001,4.599069999999999,,,,,,,
2025-07-10 09:24:02.935672+00:00,binance,ETHUSDT,spot,2780.65,2780.64,2780.65,846663.8256,2313105752.182763,2823.18,2606.49,6.438,,,,,,,,,,,
