timestamp,source,symbol,data_type,bids,asks,bid_volume,ask_volume,price,bid,ask,volume,quote_volume,high_24h,low_24h,price_change_24h,price_acceleration,volume_anomaly,instrument,strike,expiry,type,open_interest,iv,mark
2025-07-10 08:57:13.331670+00:00,deribit,BTC,option,,,,,,0.0,0.0001,1.1,,,,,,,BTC-11JUL25-96000-P,96000.0,1752220800000.0,put,215.5,79.75,0.0
2025-07-10 08:57:13.654176+00:00,deribit,BTC,option,,,,,,0.1035,0.15,0.0,,,,,,,BTC-11JUL25-97000-C,97000.0,1752220800000.0,call,0.0,79.75,0.1289
2025-07-10 08:57:13.983780+00:00,deribit,BTC,option,,,,,,0.0,0.0001,5.5,,,,,,,BTC-11JUL25-97000-P,97000.0,1752220800000.0,put,53.4,79.75,0.0
2025-07-10 08:57:14.335780+00:00,deribit,BTC,option,,,,,,0.1195,0.121,0.0,,,,,,,BTC-11JUL25-98000-C,98000.0,1752220800000.0,call,6.4,79.75,0.12
2025-07-10 08:57:14.659936+00:00,deribit,BTC,option,,,,,,0.0,0.0001,16.6,,,,,,,BTC-11JUL25-98000-P,98000.0,1752220800000.0,put,164.4,79.75,0.0
2025-07-10 08:57:15.553801+00:00,deribit,BTC,option,,,,,,0.1105,0.112,0.0,,,,,,,BTC-11JUL25-99000-C,99000.0,1752220800000.0,call,11.7,79.75,0.111
2025-07-10 08:57:15.876226+00:00,deribit,BTC,option,,,,,,0.0,0.0001,10.8,,,,,,,BTC-11JUL25-99000-P,99000.0,1752220800000.0,put,176.4,79.75,0.0
2025-07-10 08:57:17.720599+00:00,deribit,ETH,option,,,,,,0.4255,0.428,0.0,,,,,,,ETH-11JUL25-1600-C,1600.0,1752220800000.0,call,0.0,141.8,0.4266
2025-07-10 08:57:18.039066+00:00,deribit,ETH,option,,,,,,0.0,0.0002,0.0,,,,,,,ETH-11JUL25-1600-P,1600.0,1752220800000.0,put,2275.0,141.8,0.0
2025-07-10 08:57:18.361509+00:00,deribit,ETH,option,,,,,,0.3535,0.3565,0.0,,,,,,,ETH-11JUL25-1800-C,1800.0,1752220800000.0,call,100.0,141.36,0.3549
2025-07-10 08:57:18.678916+00:00,deribit,ETH,option,,,,,,0.0,0.0002,550.0,,,,,,,ETH-11JUL25-1800-P,1800.0,1752220800000.0,put,5632.0,141.36,0.0
2025-07-10 08:57:18.996792+00:00,deribit,ETH,option,,,,,,0.2945,0.3415,0.0,,,,,,,ETH-11JUL25-1900-C,1900.0,1752220800000.0,call,0.0,140.5,0.3191
2025-07-10 08:57:19.315733+00:00,deribit,ETH,option,,,,,,0.0,0.0002,169.0,,,,,,,ETH-11JUL25-1900-P,1900.0,1752220800000.0,put,3350.0,140.5,0.0
2025-07-10 08:57:19.635172+00:00,deribit,ETH,option,,,,,,0.257,0.3075,0.0,,,,,,,ETH-11JUL25-2000-C,2000.0,1752220800000.0,call,1.0,140.37,0.2833
2025-07-10 08:57:19.971598+00:00,deribit,ETH,option,,,,,,0.0,0.0002,50.0,,,,,,,ETH-11JUL25-2000-P,2000.0,1752220800000.0,put,4528.0,140.37,0.0
2025-07-10 08:57:20.292095+00:00,deribit,ETH,option,,,,,,0.239,0.2905,0.0,,,,,,,ETH-11JUL25-2050-C,2050.0,1752220800000.0,call,2.0,140.28,0.2653
2025-07-10 08:57:20.790650+00:00,deribit,ETH,option,,,,,,0.0,0.0002,51.0,,,,,,,ETH-11JUL25-2050-P,2050.0,1752220800000.0,put,5909.0,140.28,0.0
2025-07-10 08:57:21.109824+00:00,deribit,ETH,option,,,,,,0.22,0.273,0.0,,,,,,,ETH-11JUL25-2100-C,2100.0,1752220800000.0,call,3.0,138.93,0.2474
